event_id,customer_id,event_time,event_type,session_id,duration_ms
E000039,C0134,2025-06-20T11:41:50,error,S00168,1693
E000040,C0174,2025-06-22T22:18:02,checkout,S00042,6208
E000041,C0451,2025-06-30T10:13:36,page_view,S00765,548
E000042,C0049,2025-06-09T04:19:55,logout,S00026,64
E000043,C0003,2025-06-16T20:49:08,logout,S01154,3201
E000044,C0192,2025-06-04T08:50:39,error,S01021,7879
E000045,C0094,2025-06-26T23:34:10,page_view,S00317,1838
E000046,C0308,2025-06-19T03:56:15,login,S00364,4752
E000047,C0260,2025-06-08T05:25:21,page_view,S00080,6721
E000048,C0479,2025-06-27T02:20:15,page_view,S00639,7326
E000049,C0479,2025-06-15T03:32:29,add_to_cart,S01062,932
E000050,C0086,2025-06-05T20:11:02,add_to_cart,S00691,4126
E000051,C0481,2025-06-23T01:43:31,login,S00918,7657
E000052,C0484,2025-06-06T15:35:39,checkout,S00505,5528
E000053,C0188,2025-06-07T20:43:16,login,S00386,2011
E000054,C0407,2025-06-20T15:01:32,login,S00203,390
E000055,C0435,2025-06-26T05:39:42,checkout,S01080,795
E000056,C0289,2025-06-28T22:01:28,login,S01119,5802
E000057,C0330,2025-06-10T18:06:10,login,S00406,2364
E000058,C0150,2025-06-21T16:41:52,page_view,S01005,3361
E000059,C0013,2025-06-24T20:20:07,login,S00797,904
E000060,C0157,2025-06-25T03:45:46,error,S00113,6491
E000061,C0271,2025-06-03T00:30:19,checkout,S01170,1590
E000062,C0278,2025-06-09T09:58:39,page_view,S01095,5300
E000063,C0015,2025-06-03T07:00:02,add_to_cart,S00721,7969
E000064,C0494,2025-06-27T02:32:24,error,S00889,479
E000065,C0379,2025-06-25T16:17:58,logout,S00760,4342
E000066,C0349,2025-06-03T04:06:12,login,S00381,7510
E000067,C0457,2025-06-11T18:08:39,error,S00417,5886
E000068,C0254,2025-06-11T00:51:57,page_view,S00093,4728
E000069,C0473,2025-06-19T12:27:59,page_view,S00595,1737
E000070,C0003,2025-06-12T16:04:17,checkout,S00363,5453
E000071,C0200,2025-06-12T02:04:20,login,S00092,3095
E000072,C0080,2025-06-07T21:03:24,error,S00529,4954
E000073,C0452,2025-06-21T12:38:42,error,S00635,5623
E000074,C0105,2025-06-14T05:37:09,login,S00848,3402
E000075,C0194,2025-06-14T11:59:40,login,S00520,6952
E000076,C0308,2025-06-01T12:09:05,page_view,S00920,5182
E000077,C0066,2025-06-11T19:47:03,page_view,S00326,627
E000078,C0462,2025-06-24T17:11:11,checkout,S00343,594
E000079,C0484,2025-06-13T10:50:35,error,S00816,7875
E000080,C0146,2025-06-27T00:47:17,logout,S00536,2396
E000081,C0056,2025-06-06T19:06:42,add_to_cart,S00178,3285
E000082,C0285,2025-06-25T04:10:25,page_view,S00961,1694
E000083,C0246,2025-06-06T07:23:41,login,S00378,962
E000084,C0043,2025-06-04T06:31:37,checkout,S00898,2030
E000085,C0379,2025-06-07T22:19:33,page_view,S01032,3671
E000086,C0393,2025-06-10T04:09:55,checkout,S00090,6345
E000087,C0292,2025-06-01T16:33:25,checkout,S00360,7820
E000088,C0180,2025-06-23T10:18:37,page_view,S00802,1693
E000089,C0195,2025-06-08T10:22:17,page_view,S00462,7806
E000090,C0095,2025-06-10T10:25:17,login,S00052,2801
E000091,C0447,2025-06-22T09:15:18,logout,S01083,618
E000092,C0148,2025-06-28T00:46:51,checkout,S00117,1369
E000093,C0058,2025-06-04T03:53:00,page_view,S00348,3408
E000094,C0371,2025-06-16T14:45:24,page_view,S00479,3084
E000095,C0004,2025-06-19T12:08:44,login,S01162,78
E000096,C0062,2025-06-11T21:34:57,logout,S01118,6293
E000097,C0038,2025-06-01T23:03:39,login,S01171,5365
E000098,C0331,2025-06-19T17:47:10,login,S00921,2363
E000099,C0467,2025-06-12T12:54:16,checkout,S00707,5644
E000100,C0326,2025-06-23T02:05:42,add_to_cart,S00931,3975
E000101,C0275,2025-06-18T11:35:16,error,S00358,1883
E000102,C0494,2025-06-19T20:34:44,checkout,S00043,2157
E000103,C0222,2025-06-15T13:21:34,login,S01109,1229
E000104,C0437,2025-06-12T00:27:26,error,S00723,3345
E000105,C0107,2025-06-20T16:46:56,login,S00927,3499
E000106,C0228,2025-06-19T20:34:07,checkout,S00817,3847
E000107,C0069,2025-06-26T17:25:15,error,S00392,1736
E000108,C0292,2025-06-10T10:43:39,error,S00745,7816
E000109,C0461,2025-06-23T11:52:19,login,S00768,4540
E000110,C0330,2025-06-15T21:33:47,login,S00223,1799
E000111,C0278,2025-06-22T22:59:26,logout,S00845,2510
E000112,C0027,2025-06-10T16:19:45,add_to_cart,S00788,1829
E000113,C0480,2025-06-26T02:55:55,login,S00049,3587
E000114,C0356,2025-06-11T00:32:07,add_to_cart,S00560,3211
E000115,C0382,2025-06-28T08:21:59,login,S01178,6351
E000116,C0401,2025-06-10T14:27:54,login,S00504,1284
E000117,C0445,2025-06-07T08:06:27,checkout,S01087,6297
E000118,C0377,2025-06-02T17:07:45,page_view,S00176,5589
E000119,C0011,2025-06-01T10:05:59,page_view,S00679,7588
E000120,C0437,2025-06-05T08:47:44,checkout,S00416,2616
E000121,C0381,2025-06-08T07:27:54,page_view,S00744,7897
E000122,C0320,2025-06-16T07:35:03,login,S00973,4829
E000123,C0174,2025-06-09T12:08:37,logout,S00328,2423
E000124,C0462,2025-06-08T09:06:45,logout,S00840,1387
E000125,C0082,2025-06-28T06:23:09,error,S00576,4574
E000126,C0354,2025-06-13T02:33:36,add_to_cart,S00912,978
E000127,C0050,2025-06-02T21:52:44,login,S00777,1160
E000128,C0245,2025-06-09T06:35:52,error,S00743,6334
E000129,C0477,2025-06-22T09:43:41,login,S00041,4841
E000130,C0497,2025-06-24T20:57:00,checkout,S00696,7804
E000131,C0044,2025-06-18T23:02:38,logout,S00615,614
E000132,C0347,2025-06-20T02:35:44,error,S00404,7560
E000133,C0493,2025-06-16T13:38:27,page_view,S00727,2444
E000134,C0309,2025-06-25T00:25:31,logout,S00856,180
E000135,C0087,2025-06-18T17:30:26,logout,S00574,7023
E000136,C0267,2025-06-02T03:18:52,add_to_cart,S00107,4060
E000137,C0333,2025-06-12T14:13:36,login,S00887,5788
E000138,C0173,2025-06-02T23:08:03,error,S00939,2285
E000139,C0338,2025-06-04T21:29:28,add_to_cart,S00022,2777
E000140,C0377,2025-06-28T20:21:13,add_to_cart,S00963,207
E000141,C0195,2025-06-19T20:30:55,checkout,S00769,344
E000142,C0172,2025-06-18T19:20:45,login,S00834,6629
E000143,C0363,2025-06-17T14:36:31,error,S00536,1134
E000144,C0283,2025-06-10T08:44:55,page_view,S00922,4054
E000145,C0471,2025-06-05T02:47:37,checkout,S01043,6648
E000146,C0459,2025-06-06T12:15:59,page_view,S00498,238
E000147,C0039,2025-06-09T14:20:41,logout,S00486,3108
E000148,C0399,2025-06-05T05:48:47,error,S00028,7125
E000149,C0378,2025-06-17T13:27:03,page_view,S00320,7178
E000150,C0299,2025-06-23T08:49:40,error,S00217,5219
E000151,C0314,2025-06-06T22:06:54,add_to_cart,S00167,510
E000152,C0096,2025-06-05T10:50:33,page_view,S00887,5933
E000153,C0406,2025-06-12T07:33:10,page_view,S00793,1772
E000154,C0165,2025-06-26T16:43:05,add_to_cart,S01015,1628
E000155,C0310,2025-06-10T00:46:52,error,S00126,3893
E000156,C0227,2025-06-09T23:27:23,add_to_cart,S00405,4208
E000157,C0135,2025-06-07T23:38:50,add_to_cart,S00254,7244
E000158,C0360,2025-06-04T16:17:23,checkout,S00467,1591
E000159,C0084,2025-06-20T03:49:17,checkout,S00845,5254
E000160,C0260,2025-06-14T20:31:07,checkout,S00494,1837
E000161,C0272,2025-06-01T08:08:09,error,S00516,5414
E000162,C0145,2025-06-08T19:53:10,login,S00705,579
E000163,C0463,2025-06-03T22:22:32,login,S00164,5127
E000164,C0346,2025-06-22T15:32:54,error,S00181,148
E000165,C0164,2025-06-29T13:13:52,checkout,S00135,6369
E000166,C0292,2025-06-13T17:45:41,login,S00734,6006
E000167,C0381,2025-06-24T07:45:48,login,S00642,3084
E000168,C0280,2025-06-10T05:41:53,page_view,S00723,1918
E000169,C0210,2025-06-23T13:41:59,login,S00950,7258
E000170,C0445,2025-06-23T13:03:23,error,S00790,3754
E000171,C0215,2025-06-02T04:31:15,checkout,S00782,7204
E000172,C0446,2025-06-08T06:02:41,login,S00354,3322
E000173,C0078,2025-06-29T18:49:18,page_view,S00034,7799
E000174,C0201,2025-06-23T22:15:20,add_to_cart,S00045,1277
E000175,C0255,2025-06-20T00:58:59,logout,S00569,1346
E000176,C0117,2025-06-10T05:18:11,login,S00887,4035
E000177,C0223,2025-06-08T18:12:16,page_view,S00724,4042
E000178,C0493,2025-06-06T03:30:44,error,S00977,598
E000179,C0312,2025-06-15T01:05:03,login,S00444,1208
E000180,C0214,2025-06-24T19:28:54,error,S00325,156
E000181,C0174,2025-06-16T01:53:20,logout,S00250,5653
E000182,C0307,2025-06-07T06:47:40,error,S00765,4388
E000183,C0414,2025-06-07T05:17:10,login,S00130,3077
E000184,C0010,2025-06-22T16:53:01,add_to_cart,S00669,3081
E000185,C0353,2025-06-12T07:58:31,checkout,S00976,7505
E000186,C0403,2025-06-14T14:50:33,checkout,S00399,4596
E000187,C0462,2025-06-07T04:07:13,error,S01173,7959
E000188,C0498,2025-06-12T02:43:08,add_to_cart,S00511,5850
E000189,C0251,2025-06-28T08:17:23,checkout,S01047,3898
E000190,C0451,2025-06-05T15:21:42,logout,S00659,3196
E000191,C0042,2025-06-26T16:36:14,error,S00545,4071
E000192,C0035,2025-06-22T19:41:16,checkout,S00294,3241
E000193,C0187,2025-06-03T20:45:53,error,S00007,3930
E000194,C0168,2025-06-18T06:58:00,logout,S00300,6807
E000195,C0402,2025-06-14T05:47:08,checkout,S01099,7887
E000196,C0103,2025-06-10T03:15:47,logout,S00247,7895
E000197,C0152,2025-06-03T22:33:39,logout,S01033,6075
E000198,C0145,2025-06-13T01:12:17,error,S00023,6527
E000199,C0153,2025-06-13T16:04:22,page_view,S00060,1723
E000200,C0334,2025-06-21T10:59:37,add_to_cart,S00915,694
E000201,C0321,2025-06-19T13:05:05,login,S00644,4598
E000202,C0056,2025-06-14T06:42:40,error,S00929,3785
E000203,C0146,2025-06-08T21:47:36,page_view,S00254,4854
E000204,C0027,2025-06-16T20:26:39,add_to_cart,S00646,4576
E000205,C0426,2025-06-19T04:56:25,login,S00664,4556
E000206,C0203,2025-06-09T15:22:59,page_view,S00580,2725
E000207,C0166,2025-06-28T10:59:29,logout,S00115,6247
E000208,C0371,2025-06-07T09:38:09,page_view,S00287,4118
E000209,C0078,2025-06-05T23:08:01,error,S00482,4332
E000210,C0048,2025-06-18T11:47:58,login,S00704,2975
E000211,C0385,2025-06-04T09:03:45,page_view,S01075,4084
E000212,C0214,2025-06-20T05:21:43,page_view,S00425,5740
E000213,C0230,2025-06-08T17:19:07,checkout,S00466,994
E000214,C0123,2025-06-03T17:50:37,page_view,S00108,5331
E000215,C0330,2025-06-11T22:44:58,add_to_cart,S00477,3971
E000216,C0487,2025-06-08T09:49:39,logout,S00655,7868
E000217,C0166,2025-06-19T19:29:58,login,S00040,6242
E000218,C0262,2025-06-15T01:27:15,error,S00850,4082
E000219,C0282,2025-06-04T07:10:51,page_view,S00428,378
E000220,C0118,2025-06-29T06:56:25,error,S00166,4076
E000221,C0298,2025-06-18T20:53:19,add_to_cart,S00814,4220
E000222,C0109,2025-06-08T09:23:27,error,S00577,4442
E000223,C0137,2025-06-28T00:05:34,add_to_cart,S00413,3116
E000224,C0387,2025-06-30T11:55:36,checkout,S00534,2149
E000225,C0202,2025-06-06T18:50:25,page_view,S00913,5378
E000226,C0309,2025-06-25T20:17:46,add_to_cart,S00231,6357
E000227,C0022,2025-06-19T19:24:51,add_to_cart,S00410,6641
E000228,C0389,2025-06-28T16:20:21,error,S00439,6076
E000229,C0454,2025-06-29T19:11:45,login,S00112,6749
E000230,C0332,2025-06-12T03:44:53,checkout,S00445,4693
E000231,C0262,2025-06-02T03:44:36,add_to_cart,S00684,2588
E000232,C0106,2025-06-25T06:04:03,error,S00671,7806
E000233,C0235,2025-06-19T23:15:42,login,S00984,4980
E000234,C0288,2025-06-29T23:15:10,error,S00509,2387
E000235,C0040,2025-06-30T22:07:24,page_view,S00103,928
E000236,C0439,2025-06-01T13:03:46,page_view,S00622,7806
E000237,C0228,2025-06-19T12:23:15,add_to_cart,S00200,6019
E000238,C0028,2025-06-18T20:48:32,login,S00764,1813
E000239,C0039,2025-06-14T14:11:55,checkout,S00072,3470
E000240,C0461,2025-06-06T19:53:57,login,S00420,2524
E000241,C0062,2025-06-02T11:22:50,login,S00358,7261
E000242,C0008,2025-06-06T11:10:23,login,S01188,755
E000243,C0356,2025-06-28T01:28:13,error,S01154,2287
E000244,C0246,2025-06-04T01:43:51,add_to_cart,S00134,6041
E000245,C0204,2025-06-19T07:43:55,login,S00954,294
E000246,C0212,2025-06-09T11:54:59,page_view,S00130,158
E000247,C0492,2025-06-14T15:10:56,login,S00416,5865
E000248,C0411,2025-06-13T23:24:32,add_to_cart,S00481,249
E000249,C0354,2025-06-22T17:56:42,page_view,S01154,82610
E000250,C0428,2025-06-22T03:12:47,login,S00475,4628
E000251,C0367,2025-06-03T07:06:07,logout,S00753,2397
E000252,C0234,2025-06-23T22:28:24,error,S00761,4511
E000253,C0372,2025-06-27T17:59:22,error,S00711,4479
E000254,C0209,2025-06-09T10:40:52,login,S00712,4803
E000255,C0393,2025-06-15T04:43:42,login,S01111,1259
E000256,C0209,2025-06-18T11:48:48,logout,S00519,7925
E000257,C0454,2025-06-07T16:21:50,error,S00956,2776
E000258,C0231,2025-06-27T04:13:38,page_view,S00704,7109
E000259,C0260,2025-06-08T00:59:45,error,S00327,4955
E000260,C0436,2025-06-28T20:24:01,add_to_cart,S00812,1192
E000261,C0042,2025-06-21T08:08:32,logout,S01115,7264
E000262,C0022,2025-06-26T05:20:29,checkout,S01128,900
E000263,C0341,2025-06-08T23:53:29,error,S00686,6109
E000264,C0251,2025-06-06T16:13:23,checkout,S01124,2716
E000265,C0480,2025-06-20T04:09:44,login,S00449,4335
E000266,C0296,2025-06-18T01:06:04,page_view,S00463,6192
E000267,C0328,2025-06-23T00:32:43,add_to_cart,S00002,1325
E000268,C0458,2025-06-25T11:47:52,add_to_cart,S00148,6603
E000269,C0356,2025-06-15T21:09:48,checkout,S00429,2031
E000270,C0278,2025-06-05T16:31:56,page_view,S00034,7845
E000271,C0016,2025-06-15T08:36:48,error,S00147,1041
E000272,C0035,2025-06-13T07:16:18,login,S00733,3757
E000273,C0339,2025-06-20T13:31:47,checkout,S00703,136
E000274,C0199,2025-06-19T04:48:31,logout,S00980,1757
E000275,C0326,2025-06-30T20:17:51,login,S00065,4910
E000276,C0256,2025-06-16T12:23:53,error,S00970,2929
E000277,C0441,2025-06-19T15:06:26,page_view,S00866,6217
E000278,C0353,2025-06-29T12:02:59,error,S01005,5130
E000279,C0014,2025-06-19T10:41:38,page_view,S00973,366
E000280,C0130,2025-06-27T09:29:49,error,S00193,804
E000281,C0233,2025-06-19T10:33:31,logout,S00962,6186
E000282,C0018,2025-06-16T16:10:25,error,S00925,2587
E000283,C0111,2025-06-30T19:01:56,error,S00263,3413
E000284,C0304,2025-06-02T08:53:49,page_view,S01029,7713
E000285,C0093,2025-06-23T11:38:37,login,S01098,2300
E000286,C0335,2025-06-03T08:45:25,error,S01059,2124
E000287,C0252,2025-06-09T10:37:47,add_to_cart,S00082,7441
E000288,C0149,2025-06-30T04:21:21,error,S00318,2764
E000289,C0496,2025-06-04T17:30:09,add_to_cart,S00012,1681
E000290,C0199,2025-06-09T13:47:26,checkout,S00375,6378
E000291,C0115,2025-06-17T12:12:38,login,S00469,7140
E000292,C0366,2025-06-22T14:04:26,page_view,S00208,6672
E000293,C0085,2025-06-07T18:11:09,logout,S01153,1131
E000294,C0013,2025-06-22T06:25:13,error,S00881,4114
E000295,C0011,2025-06-26T11:52:24,error,S01114,7403
E000296,C0055,2025-06-21T07:43:58,login,S01142,3930
E000297,C0360,2025-06-21T11:57:46,checkout,S00733,598
E000298,C0244,2025-06-20T11:34:47,add_to_cart,S00248,4204
E000299,C0013,2025-06-08T20:44:17,error,S00403,757
E000300,C0229,2025-06-27T12:02:29,login,S00137,3108
E000301,C0498,2025-06-10T00:08:06,logout,S00082,4818
E000302,C0119,2025-06-10T19:52:05,error,S00801,1257
E000303,C0006,2025-06-19T01:14:47,page_view,S00231,541
E000304,C0269,2025-06-13T21:46:53,checkout,S00281,4847
E000305,C0164,2025-06-12T19:54:11,add_to_cart,S00387,7099
E000306,C0340,2025-06-24T01:08:05,page_view,S00354,3968
E000307,C0199,2025-06-27T20:19:46,page_view,S00300,5238
E000308,C0342,2025-06-07T03:54:50,page_view,S00979,7077
E000309,C0263,2025-06-04T12:34:24,error,S00847,4687
E000310,C0430,2025-06-18T13:26:14,checkout,S00833,7730
E000311,C0031,2025-06-21T23:09:58,login,S00057,401
E000312,C0099,2025-06-19T03:22:16,add_to_cart,S00261,3251
E000313,C0246,2025-06-30T20:24:19,login,S00323,7827
E000314,C0124,2025-06-30T01:51:39,page_view,S00887,4320
E000315,C0308,2025-06-02T12:01:02,page_view,S00299,3468
E000316,C0396,2025-06-02T22:32:36,checkout,S00952,3077
E000317,C0333,2025-06-17T13:51:21,logout,S00670,2536
E000318,C0471,2025-06-15T23:00:40,logout,S00999,7057
E000319,C0198,2025-06-29T14:53:18,error,S01176,5745
E000320,C0071,2025-06-23T18:48:24,login,S00702,2811
E000321,C0273,2025-06-26T02:20:45,checkout,S00550,5099
E000322,C0479,2025-06-14T04:01:49,logout,S00467,7215
E000323,C0161,2025-06-16T17:40:43,add_to_cart,S00714,7481
E000324,C0498,2025-06-15T20:55:15,logout,S00843,1621
E000325,C0143,2025-06-13T19:28:39,error,S00386,4946
E000326,C0394,2025-06-30T18:15:33,error,S00605,7345
E000327,C0098,2025-06-18T13:09:46,checkout,S00419,5887
E000328,C0409,2025-06-23T11:04:24,page_view,S00597,4815
E000329,C0327,2025-06-12T23:48:26,error,S00691,1735
E000330,C0094,2025-06-25T02:59:43,login,S00555,3121
E000331,C0478,2025-06-28T13:59:19,add_to_cart,S00522,3810
E000332,C0311,2025-06-04T11:56:40,login,S01128,2118
E000333,C0202,2025-06-01T03:48:23,checkout,S01014,595
E000334,C0233,2025-06-27T17:32:49,logout,S01163,4830
E000335,C0216,2025-06-10T16:04:23,login,S01003,2226
E000336,C0305,2025-06-06T05:55:16,checkout,S00245,3952
E000337,C0072,2025-06-09T19:00:08,page_view,S00085,1056
E000338,C0434,2025-06-04T09:52:55,logout,S00550,2322
E000339,C0066,2025-06-05T15:43:14,login,S00420,7633
E000340,C0021,2025-06-28T12:05:55,checkout,S00568,540
E000341,C0146,2025-06-21T20:45:22,logout,S01169,2021
E000342,C0385,2025-06-13T22:46:10,add_to_cart,S00311,7650
E000343,C0012,2025-06-27T21:07:09,add_to_cart,S00352,4835
E000344,C0413,2025-06-19T14:32:39,page_view,S00329,1714
E000345,C0047,2025-06-28T17:32:35,checkout,S00996,6115
E000346,C0064,2025-06-05T15:28:46,add_to_cart,S00496,2066
E000347,C0236,2025-06-30T14:14:37,add_to_cart,S00573,1406
E000348,C0055,2025-06-01T03:41:29,login,S01188,2006
E000349,C0441,2025-06-30T02:43:12,add_to_cart,S00476,7009
E000350,C0052,2025-06-04T23:32:00,login,S00308,3396
E000351,C0379,2025-06-19T15:56:47,login,S00048,7018
E000352,C0278,2025-06-14T04:34:50,login,S00895,1730
E000353,C0405,2025-06-26T10:25:44,login,S01040,2854
E000354,C0316,2025-06-19T19:56:13,add_to_cart,S00764,6916
E000355,C0074,2025-06-04T18:07:38,error,S00774,4973
E000356,C0087,2025-06-20T14:42:05,checkout,S00830,1746
E000357,C0141,2025-06-13T01:49:58,add_to_cart,S00778,5906
E000358,C0308,2025-06-23T19:15:19,logout,S00500,7919
E000359,C0331,2025-06-04T03:22:30,page_view,S00797,3754
E000360,C0293,2025-06-17T18:10:07,login,S00894,2995
E000361,C0371,2025-06-22T14:50:39,login,S00523,7498
E000362,C0179,2025-06-12T02:17:16,checkout,S00981,2254
E000363,C0081,2025-06-09T04:21:54,error,S01060,1845
E000364,C0307,2025-06-26T18:35:09,page_view,S00782,6686
E000365,C0187,2025-06-03T07:53:56,error,S00326,6281
E000366,C0048,2025-06-30T21:03:04,checkout,S00163,5746
E000367,C0269,2025-06-13T09:15:57,add_to_cart,S00893,3761
E000368,C0143,2025-06-10T00:43:44,add_to_cart,S01067,1926
E000369,C0035,2025-06-12T06:05:05,page_view,S01173,7191
E000370,C0336,2025-06-09T12:59:22,login,S00344,2411
E000371,C0121,2025-06-01T20:01:05,logout,S00158,6666
E000372,C0035,2025-06-05T22:16:05,add_to_cart,S01094,2254
E000373,C0064,2025-06-23T10:53:41,error,S00367,4583
E000374,C0079,2025-06-26T21:45:21,page_view,S00667,7686
E000375,C0438,2025-06-09T08:09:18,page_view,S01026,6327
E000376,C0259,2025-06-03T18:14:06,page_view,S00961,3276
E000377,C0080,2025-06-07T10:07:48,checkout,S01176,2031
E000378,C0401,2025-06-14T13:22:52,add_to_cart,S00226,3838
E000379,C0366,2025-06-13T01:11:28,page_view,S00138,1377
E000380,C0194,2025-06-07T14:20:23,logout,S01004,54
E000381,C0347,2025-06-20T04:13:41,login,S01076,4558
E000382,C0239,2025-06-26T05:26:35,logout,S00830,2949
E000383,C0385,2025-06-13T04:56:13,add_to_cart,S01031,4338
E000384,C0440,2025-06-25T06:13:25,add_to_cart,S00151,1084
E000385,C0308,2025-06-18T20:10:12,logout,S00845,6947
E000386,C0196,2025-06-19T06:00:24,checkout,S00998,2503
E000387,C0102,2025-06-01T18:41:23,error,S00302,1815
E000388,C0231,2025-06-29T15:54:02,add_to_cart,S00619,6525
E000389,C0203,2025-06-12T20:51:12,add_to_cart,S00900,1215
E000390,C0130,2025-06-24T15:08:05,login,S00761,3320
E000391,C0452,2025-06-10T22:29:02,page_view,S00503,3845
E000392,C0486,2025-06-08T01:33:48,page_view,S00606,7398
E000393,C0192,2025-06-03T13:53:18,login,S00888,2921
E000394,C0040,2025-06-30T00:59:45,logout,S01130,2458
E000395,C0245,2025-06-02T23:12:51,login,S00139,7701
E000396,C0181,2025-06-17T02:10:12,logout,S00340,1634
E000397,C0006,2025-06-05T22:01:34,logout,S00553,1245
E000398,C0031,2025-06-02T04:45:30,logout,S00761,4223
E000399,C0013,2025-06-22T18:22:32,logout,S00943,3354
E000400,C0178,2025-06-16T20:27:07,logout,S01200,2384
E000401,C0064,2025-06-22T06:46:13,logout,S00075,6263
E000402,C0342,2025-06-27T14:27:15,logout,S00138,6019
E000403,C0496,2025-06-08T10:38:32,checkout,S00901,7692
E000404,C0375,2025-06-13T23:12:03,add_to_cart,S00191,1229
E000405,C0316,2025-06-19T15:15:49,page_view,S00091,2309
E000406,C0156,2025-06-01T14:06:52,login,S01166,7861
E000407,C0100,2025-06-21T06:31:35,add_to_cart,S00875,6599
E000408,C0281,2025-06-28T13:59:08,add_to_cart,S00002,2140
E000409,C0034,2025-06-08T22:21:53,error,S00989,7085
E000410,C0403,2025-06-04T04:59:57,add_to_cart,S01011,1844
E000411,C0059,2025-06-04T21:10:16,checkout,S00763,5533
E000412,C0436,2025-06-23T18:20:19,logout,S01144,7878
E000413,C0281,2025-06-17T01:10:36,logout,S00319,5223
E000414,C0342,2025-06-29T15:08:34,logout,S00503,4310
E000415,C0116,2025-06-02T01:53:39,checkout,S01043,3604
E000416,C0154,2025-06-25T05:13:50,page_view,S00616,5983
E000417,C0411,2025-06-13T12:10:30,logout,S00458,922
E000418,C0433,2025-06-11T15:05:53,login,S00314,7265
E000419,C0475,2025-06-05T18:52:26,checkout,S00846,5762
E000420,C0381,2025-06-20T09:51:35,checkout,S00167,3484
E000421,C0125,2025-06-08T21:15:45,error,S00136,5154
E000422,C0397,2025-06-16T05:47:11,login,S00832,7636
E000423,C0418,2025-06-21T23:30:42,page_view,S00684,1311
E000424,C0481,2025-06-18T23:31:26,login,S01008,1018
E000425,C0476,2025-06-20T05:46:30,login,S00482,4870
E000426,C0147,2025-06-12T19:23:25,checkout,S00327,5051
E000427,C0307,2025-06-16T21:08:56,page_view,S00207,4911
E000428,C0043,2025-06-04T23:53:54,add_to_cart,S01107,6572
E000429,C0220,2025-06-24T21:58:37,error,S00312,7394
E000430,C0027,2025-06-01T02:25:54,add_to_cart,S00597,3910
E000431,C0432,2025-06-18T19:18:52,error,S00732,5610
E000432,C0342,2025-06-28T18:25:30,checkout,S00677,766
E000433,C0052,2025-06-02T21:22:15,page_view,S00001,4824
E000434,C0421,2025-06-10T07:59:07,login,S01005,6517
E000435,C0056,2025-06-13T23:27:44,logout,S00147,4910
E000436,C0426,2025-06-30T17:53:25,login,S00533,2380
E000437,C0081,2025-06-25T23:53:31,add_to_cart,S00582,837
E000438,C0017,2025-06-20T02:20:11,add_to_cart,S00969,7030
E000439,C0415,2025-06-22T23:12:38,checkout,S00602,2988
E000440,C0335,2025-06-20T11:18:30,add_to_cart,S00634,3474
E000441,C0342,2025-06-16T20:31:40,add_to_cart,S00318,1774
E000442,C0019,2025-06-04T20:34:10,page_view,S00303,531
